-- PRICES --
      | 3521327001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 3521249001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 3521393001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 3522801001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 3522802001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 3521369001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 3521359001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2864452001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2897015001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2921012001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2921018001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 2997764001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6698683001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 3035566001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6699059001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6699144001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 4859118001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 7521146001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 4859177001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 4859181001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 4859183001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 7397859001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 7397865001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 7397867001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 5023214001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 5023216001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 7520609001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 3451193001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363707001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363711001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363716001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363730001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363733001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363690001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363804001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363807001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363808001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363811001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363814001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363790001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363796001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363801001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 6363819001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 9234946001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 11167911001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 7545215001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 7544045001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 7552309001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 7544409001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 7545242001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 9064970001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 8184576001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 8371048001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 8371065001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 8371071001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 8911340001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 10901061001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 10901064001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 10901072001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 10901073001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 10901075001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 9978961001  | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 10971532001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 10971533001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 10971534001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 10971535001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 10971528001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 10971530001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 10971531001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 11252423001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 11252429001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 11383186001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 21197602001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 21197603001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 40283105001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 40283107001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 40283109001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 40283110001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      | 11417566001 | 0090         | eciStore | eciStore_MercanciaGeneral   |
      |10206513001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |10206520001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |17352712001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |6726214001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |9978965001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |376403001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |9978952001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |9978970001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |7521136001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |5023214001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |38915603001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |7521143001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |7521146001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |7521139001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |5023216001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |5023217001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |5023215001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |1900161001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |1950403001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |1718506001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |1706178001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |229743001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |187993001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |2257192001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |1643411001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |2257189001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |2257191001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |2257190001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |2257193001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |2257194001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |2257195001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |2257196001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |2257197001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |1718962001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |1718536001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |1184570001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |1718542001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |1507625001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |1718965001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |230446001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |7552372001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |10450306001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |6860775001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |6860780001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |6860792001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |6860788001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |6860782001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |6860789001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |10489939001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |1950403001| 0202 | eciStore | eciStore_CanariasMercanciaGeneral |
      |925454001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |345901001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |12171680001| 0090 | eciStore | eciStore_MercanciaGeneral |
      |26028422001| 0090 | eciStore | eciStore_MercanciaGeneral |
      










-- STOCK --
